Date,PM2.5AQI Value,Main Pollutant,Site Name,Site ID,Source
7/27/01,40,,Allen Park,26-163-0001,AQS
7/28/01,74,,,26-163-0016,AQS
7/29/01,77,,,26-163-0016,AQS
7/30/01,96,,SCHOOLCRAFT COLLEGE,26-163-0025,AQS
7/31/01,96,,Allen Park,26-163-0001,AQS
8/1/01,108,,Allen Park,26-163-0001,AQS
8/2/01,125,,92 FEET FROM WHE STREET,26-163-0036,AQS
8/3/01,55,,Allen Park,26-163-0001,AQS
8/4/01,33,,Allen Park,26-163-0001,AQS
8/5/01,57,,Southwestern H.S.,26-163-0015,AQS
8/6/01,59,,Allen Park,26-163-0001,AQS
8/7/01,81,,Allen Park,26-163-0001,AQS
8/8/01,83,,92 FEET FROM WHE STREET,26-163-0036,AQS
8/9/01,95,,Allen Park,26-163-0001,AQS
8/10/01,38,,Allen Park,26-163-0001,AQS
8/11/01,37,,338 FEET NORTH TO I-696 FREEWAY,26-125-0010,AQS
8/12/01,52,,Allen Park,26-163-0001,AQS
8/13/01,55,,Allen Park,26-163-0001,AQS
8/14/01,41,,Southwestern H.S.,26-163-0015,AQS
8/15/01,56,,,26-163-0016,AQS
8/16/01,81,,,26-163-0016,AQS
8/17/01,66,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
8/18/01,55,,,26-163-0016,AQS
8/19/01,48,,Allen Park,26-163-0001,AQS
8/20/01,43,,Southwestern H.S.,26-163-0015,AQS
8/21/01,53,,Allen Park,26-163-0001,AQS
8/22/01,77,,,26-163-0016,AQS
8/23/01,104,,92 FEET FROM WHE STREET,26-163-0036,AQS
8/24/01,76,,Allen Park,26-163-0001,AQS
8/25/01,114,,Allen Park,26-163-0001,AQS
8/26/01,74,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
8/27/01,63,,,26-163-0016,AQS
8/28/01,47,,Allen Park,26-163-0001,AQS
8/29/01,81,,338 FEET NORTH TO I-696 FREEWAY,26-125-0010,AQS
8/30/01,91,,,26-163-0016,AQS
8/31/01,43,,Allen Park,26-163-0001,AQS
9/1/01,37,,Allen Park,26-163-0001,AQS
9/2/01,60,,Allen Park,26-163-0001,AQS
9/3/01,75,,Allen Park,26-163-0001,AQS
9/4/01,40,,Allen Park,26-163-0001,AQS
9/5/01,43,,Allen Park,26-163-0001,AQS
9/6/01,67,,Allen Park,26-163-0001,AQS
9/7/01,112,,Southwestern H.S.,26-163-0015,AQS
9/8/01,76,,Allen Park,26-163-0001,AQS
9/9/01,69,,Allen Park,26-163-0001,AQS
9/10/01,38,,East 7 Mile,26-163-0019,AQS
9/11/01,41,,Allen Park,26-163-0001,AQS
9/12/01,55,,Allen Park,26-163-0001,AQS
9/13/01,30,,Allen Park,26-163-0001,AQS
9/14/01,21,,Allen Park,26-163-0001,AQS
9/15/01,53,,,26-163-0016,AQS
