Date, AQI Value,Main Pollutant,Site Name,Site ID,Source
7/31/80,147.0,Ozone,New Haven,26-099-0009,AQS
8/1/80,140.0,Ozone,,26-163-2002,AQS
8/2/80,97.0,NO2,,26-163-0020,AQS
8/3/80,97.0,Ozone,Allen Park,26-163-0001,AQS
8/4/80,133.0,Ozone,,26-163-2002,AQS
8/5/80,84.0,Ozone,New Haven,26-099-0009,AQS
8/6/80,90.0,Ozone,New Haven,26-099-0009,AQS
8/7/80,94.0,NO2,,26-163-0016,AQS
8/8/80,84.0,Ozone,New Haven,26-099-0009,AQS
8/9/80,100.0,Ozone,Allen Park,26-163-0001,AQS
8/10/80,37.0,Ozone,East 7 Mile,26-163-0019,AQS
